EGFR	FGFR1	TGFBR1	CD274	PIK3CD	KRAS	SMAD4	PIK3CB	RAF1	CDKN1A	MAP2K1	NFKB1	AKT1	PTEN	MAPK1	E2F1	JUN	CCND1	RB1	BCL2L1	MAPK8	MTOR	BAX	BECN1	MDM2	TP53	CCNE1	CUX1
5318.05	522.36	9630.66	64.26	37.22	3982.49	9.61	1201.15	2309.59	3786.29	2545.02	3927.46	10535.56	2565.3	6169.4	438.48	10715.61	8337.51	4392.5	9579.68	1373.45	3227.89	3677.48	2600.86	1186.18	2931.53	233.38	9322.46
3316.42	452.33	4074.97	62.4	27.01	8464.17	3949.13	4733.33	2424.56	3888.25	4661.49	2515.01	9160.54	3112.25	12034.14	995.87	4026.9	16475.97	3792.56	7551.88	2587.15	3250.08	1754.51	4846.74	1293.34	394.99	305.71	10680.63
3121.93	3066.96	1453.56	240.45	1309.32	1231.46	512.97	967.35	5592.9	13822.84	2315.73	2294.56	5553.48	3518.39	3583.79	1532.5	7292.97	11117.06	941.45	15114.18	1286.77	1226.49	4810.17	2644.85	2288.73	3654.7	818.44	4531.26
692.34	440.03	2567.57	71.68	25.84	1417.91	1645.06	1283.96	3734.32	7111.58	2127.8	1799.71	8762.19	3075.47	2663.67	606.1	7665.69	6958.86	777.23	7226.89	849.93	1801.82	3589.87	1590.69	1712.25	3195.41	276.33	8736.56
1507.07	361	396.88	14.85	99.4	1811.33	2403.4	1599.11	5317.99	5300.71	1562.92	3229.55	7655.13	2985.91	4575.27	612.61	24248.73	12452.47	950.46	15736.65	838.96	1666.77	4805.6	2593.76	1315.64	624.79	259.19	7841.88
1507.03	402.2	1341	438.16	28.07	4067.64	270.9	2570.47	3371.87	5238.04	2751.48	1745.24	8509.18	3076.29	2785.81	815.78	9249.99	10044.86	618.43	14783.12	1258.72	1949.43	4514.93	1903.42	2315.06	2725.36	359.88	5735.68
5490.83	5620.04	1177.8	1078.41	977.61	3605.3	843.95	1887.46	4684.97	15978.59	4457.98	1719.77	9338.56	3778.66	4080.98	1045.3	6489.4	16006.31	4264.5	28915.96	905.82	2993.11	5244.71	1825.45	1353.25	2737.28	495.06	7377.19
10781.06	569.36	2885.29	463.46	1380.96	1725.23	1658.93	3477.94	3469.34	12167.26	3918.03	2533.42	7039.65	3048.21	3866.8	734.02	5308.13	18762.76	1616.8	24374.75	1342.79	3297.91	2461.28	2501.51	1551.94	643.27	363.5	17515.09
5228.47	456.13	10577.79	29.17	22.68	2563.43	734.76	2918.88	4876.47	27643.46	1957.69	3800.77	6051.67	2770.42	3163.27	502.93	7066.6	38318.11	2482.5	12365	1152.27	1550.81	4833.21	3732.65	840.51	749.45	396.78	10452.77
35115.65	2284.22	1025.78	128.05	1415.95	3149.55	738.64	1388.65	3342.28	3803.67	3078.81	8968.54	6144.32	4226.47	3082.28	1139.59	3929.51	80942.49	2072.89	10952.62	1722.28	1635.47	1884.41	3309.89	2055.82	1017.23	189.85	9242.93
7343.86	436.54	2475.98	557.08	26.34	6570.61	1262.61	6218.18	4351.22	16625.32	3120	5214.02	11067.89	3027.26	4397.88	748.83	8013.67	40929.31	2316.88	9592.69	2088.96	4304.19	2705.95	2873.08	1064.84	3472.21	367.51	7986.2
300.46	491.32	902.49	488.76	9814.61	2783.65	1852.92	1757.93	5144.92	7468.44	2969.35	5735.87	4215.86	3138.25	4474.19	849.8	7285.52	1530.3	3403.64	4410.41	1509.18	2883.38	3791.41	3198.39	2442.14	3381.04	423.19	2668.35
2408.85	431.34	2061.36	344.22	24.29	1441.8	254.83	2828.63	4117.9	20633.49	4153.94	3094.74	8221.08	3043.01	4012.62	1008.54	17059.41	5675.87	320.86	13774.57	1170.55	1769.22	1841.06	2375.28	851.96	2306.24	2222.09	5538.05
707.96	436.53	2045.11	104.52	1052.32	3132.97	742.94	2327.59	4374.14	24175.36	2508.3	2150.02	7160.67	3053.2	6077.98	1216.95	16844.54	14842.56	1143.68	14143.6	680.56	1546.68	2219.48	2026.8	1257.85	2886.46	1019.94	7751.76
528.8	433.83	2722.72	355.86	25.87	2298.44	29.17	1358.57	3665.09	18920.78	3527.2	8722.23	7293.07	2977.56	3124.48	652.18	8375.3	3858.09	1880.94	10427.07	1172.72	1311.92	3864.04	2805.64	1224.27	1860.57	296.2	5583.93
1697.27	595.05	7473.02	123.82	44.37	3448.11	536.27	3186.03	5133.11	8987.48	6969.23	3319.84	6289.25	2576.31	4722.64	1412.96	23918.81	11406.74	1139.71	10470.52	1912.93	2239.21	2303.33	2396.38	5231.14	882.04	315.6	6502.03
6688.88	460.52	928.06	710.34	31.66	3355.15	1092.87	5357.81	4071.28	7016.49	3659.85	3388.75	7164.61	3087.51	5127.44	1525.9	7027.08	18907.19	2334.43	9903.17	1387.99	2846.17	6288.49	2573.36	4013.18	3303.55	785.14	6610.25
1647.79	456.01	620.09	56.33	25.81	3699.87	896.81	2666.8	4828.98	5672.4	3187.52	4099.89	8836.94	3088.04	6735.12	642.11	4866.07	9146.55	1168.83	19790.56	1099.43	2589.64	2104.92	2380.62	1471.02	1321.36	334.07	7774.42
9969.19	423.99	1958.82	378.26	25.55	4271.15	1663.16	2374.61	2404.65	12348.02	3762.92	8732.18	3683.4	3041.09	5490.46	231.79	6320.21	6065.11	7970.21	5259.77	1120.1	3214.31	3044.79	3731.22	2121.35	952.56	224.94	8443.19
942.87	487.02	1006.45	178.8	1126.23	1288.75	730.95	1225.07	3901.95	8482.7	2471.25	2702.26	6853.84	2914.88	2555.2	315.4	7865.18	5879.22	1048.76	11413.62	848.61	1583.21	6722.86	2033.11	1269.25	1517.66	322.21	4975.36
668.5	421.73	2351.97	531.04	24.33	3018.42	967.68	2671.18	4717.47	7659.17	2151.94	1986.89	9478.59	3093.04	2749.12	1304.74	7972.03	6902.12	1940.82	8858.96	1234.55	2295.51	5427.95	1649.41	1996.8	2743.92	345.87	5231.47
1499.5	460.62	11219.51	27.82	27.81	1834.2	993.56	1247.13	4659.88	4146.72	1639.02	2191.9	9221.39	2879.26	4271.24	476.91	6619.15	4126.34	1298.46	6821.27	668.75	3249.76	1789.5	3381.63	769.27	354.5	107.08	11645.74
582.66	435.98	2591.63	56.83	19.88	3989.3	27.83	2510.04	2450.27	10509.85	3278.05	5953.56	6545.67	3102.98	6030.3	603.58	8283.01	9942.65	2166.39	5288.73	1536.38	3667.57	2754.13	2526.89	2830.08	1664.83	381.73	10431.36
2275.23	461.4	2434.59	19.28	22.77	2261.34	256.79	1473.92	1706.79	8040.62	2530.94	1684.24	8337.51	3202.7	2646.53	408.04	9326.76	27547.06	462.03	13680.2	910.97	1273.53	2045.61	2609.89	698.68	2468.8	2648.82	4492.85
